NEWID,WMLE
10310696ÿ,3.36
10310697ÿ,3.36
10310698ÿ,3.36
10310699ÿ,3.36
10310700ÿ,3.36
10310701ÿ,3.36
10310702ÿ,3.36
10310703ÿ,3.36
10310704ÿ,3.36
10310705ÿ,3.36
10310706ÿ,3.36
10310707ÿ,3.36
10310708ÿ,3.36
10310709ÿ,3.36
10310710ÿ,3.36
10310711ÿ,3.36
10310712ÿ,3.36
10310713ÿ,3.36
10310714ÿ,3.36
10310715ÿ,3.36
10310716ÿ,3.36
10310717ÿ,3.36
10320718ÿ,-0.87
10320719ÿ,-0.87
10320720ÿ,-0.87
10320721ÿ,-0.87
10320722ÿ,-0.87
10320723ÿ,-0.87
10320724ÿ,-0.87
10320725ÿ,-0.87
10320726ÿ,-0.87
10320727ÿ,-0.87
10320728ÿ,-0.87
10320729ÿ,-0.87
10320730ÿ,-0.87
10320731ÿ,-0.87
10320732ÿ,-0.87
10320733ÿ,-0.87
10320734ÿ,-0.87
10320735ÿ,-0.87
10320736ÿ,-0.87
10320737ÿ,-0.87
10320738ÿ,-0.87
10320739ÿ,-0.87
10320740ÿ,-0.87
10320741ÿ,-0.87
10320742ÿ,-0.87
10320743ÿ,-0.87
10320744ÿ,-0.87
10320745ÿ,-0.87
10320746ÿ,-0.87
10320747ÿ,-0.87
10320748ÿ,-0.87
10320749ÿ,-0.87
10320750ÿ,-0.87
10320751ÿ,-0.87
10330752ÿ,-0.87
10330753ÿ,-0.87
10330754ÿ,-0.87
10330755ÿ,-0.87
10330756ÿ,-0.87
10330757ÿ,-0.87
10330758ÿ,-0.87
10330759ÿ,-0.87
10330760ÿ,-0.87
10330761ÿ,-0.87
10330762ÿ,-0.87
10330763ÿ,-0.87
10330764ÿ,-0.87
10330765ÿ,-0.87
10330766ÿ,-0.87
10330767ÿ,-0.87
10330768ÿ,-0.87
10330769ÿ,-0.87
10330770ÿ,-0.87
10330771ÿ,-0.87
10330772ÿ,-0.87
10330773ÿ,-0.87
10330774ÿ,-0.87
10330775ÿ,-0.87
10330776ÿ,-0.87
10330777ÿ,-0.87
10330778ÿ,-0.87
10330779ÿ,-0.87
10330780ÿ,-0.87
10330781ÿ,-0.87
10340782ÿ,-2.41
10340783ÿ,-2.41
10340784ÿ,-2.41
10340785ÿ,-2.41
10340786ÿ,-2.41
10340787ÿ,-2.41
10340788ÿ,-2.41
10340789ÿ,-2.41
10340790ÿ,-2.41
10340791ÿ,-2.41
10340792ÿ,-2.41
10340793ÿ,-2.41
10340794ÿ,-2.41
10340795ÿ,-2.41
10340796ÿ,-2.41
10340797ÿ,-2.41
10340798ÿ,-2.41
10340799ÿ,-2.41
10340800ÿ,-2.41
10340801ÿ,-2.41
10340802ÿ,-2.41
10340803ÿ,-2.41
10350804ÿ,-1.99
10350805ÿ,-1.99
10350806ÿ,-1.99
10350807ÿ,-1.99
10350808ÿ,-1.99
10350809ÿ,-1.99
10350810ÿ,-1.99
10350811ÿ,-1.99
10350812ÿ,-1.99
10350813ÿ,-1.99
10350814ÿ,-1.99
10350815ÿ,-1.99
10350816ÿ,-1.99
10350817ÿ,-1.99
10350818ÿ,-1.99
10350819ÿ,-1.99
10350820ÿ,-1.99
10350821ÿ,-1.99
10350822ÿ,-1.99
10350823ÿ,-1.99
10350824ÿ,-1.99
10350825ÿ,-1.99
10350826ÿ,-1.99
10350827ÿ,-1.99
10350828ÿ,-1.99
10350829ÿ,-1.99
10350830ÿ,-1.99
10350831ÿ,-1.99
10350832ÿ,-1.99
10350833ÿ,-1.99
10350834ÿ,-1.99
10360835ÿ,-1.6
10360836ÿ,-1.6
10360837ÿ,-1.6
10360838ÿ,-1.6
10360839ÿ,-1.6
10360840ÿ,-1.6
10360841ÿ,-1.6
10360842ÿ,-1.6
10360843ÿ,-1.6
10360844ÿ,-1.6
10360845ÿ,-1.6
10360846ÿ,-1.6
10360847ÿ,-1.6
10360848ÿ,-1.6
10360849ÿ,-1.6
10360850ÿ,-1.6
10360851ÿ,-1.6
10360852ÿ,-1.6
10360853ÿ,-1.6
10360854ÿ,-1.6
10360855ÿ,-1.6
10360856ÿ,-1.6
10360857ÿ,-1.6
10360858ÿ,-1.6
10360859ÿ,-1.6
10360860ÿ,-1.6
10360861ÿ,-1.6
10360862ÿ,-1.6
10360863ÿ,-1.6
10360864ÿ,-1.6
10360865ÿ,-1.6
10360866ÿ,-1.6
10370867ÿ,-1.99
10370868ÿ,-1.99
10370869ÿ,-1.99
10370870ÿ,-1.99
10370871ÿ,-1.99
10370872ÿ,-1.99
10370873ÿ,-1.99
10370874ÿ,-1.99
10370875ÿ,-1.99
10370876ÿ,-1.99
10370877ÿ,-1.99
10370878ÿ,-1.99
10370879ÿ,-1.99
10370880ÿ,-1.99
10370881ÿ,-1.99
10370882ÿ,-1.99
10370883ÿ,-1.99
10370884ÿ,-1.99
10370885ÿ,-1.99
10370886ÿ,-1.99
10370887ÿ,-1.99
10370888ÿ,-1.99
10370889ÿ,-1.99
10370890ÿ,-1.99
10370891ÿ,-1.99
10370892ÿ,-1.99
10370893ÿ,-1.99
10370894ÿ,-1.99
10370895ÿ,-1.99
10370896ÿ,-1.99
10370897ÿ,-1.99
10370898ÿ,-1.99
10370899ÿ,-1.99
10380900ÿ,0.17
10380901ÿ,0.17
10380902ÿ,0.17
10380903ÿ,0.17
10380904ÿ,0.17
10380905ÿ,0.17
10380906ÿ,0.17
10380907ÿ,0.17
10390908ÿ,-2.86
10390909ÿ,-2.86
10390910ÿ,-2.86
10390911ÿ,-2.86
10400912ÿ,-2.41
10400913ÿ,-2.41
10400914ÿ,-2.41
10400915ÿ,-2.41
10400916ÿ,-2.41
10400917ÿ,-2.41
10400918ÿ,-2.41
10400919ÿ,-2.41
10400920ÿ,-2.41
10400921ÿ,-2.41
10400922ÿ,-2.41
10400923ÿ,-2.41
10400924ÿ,-2.41
10400925ÿ,-2.41
10400926ÿ,-2.41
10400927ÿ,-2.41
10400928ÿ,-2.41
10400929ÿ,-2.41
10400930ÿ,-2.41
10400931ÿ,-2.41
10400932ÿ,-2.41
10400933ÿ,-2.41
10400934ÿ,-2.41
10400935ÿ,-2.41
10400936ÿ,-2.41
10400937ÿ,-2.41
10400938ÿ,-2.41
10400939ÿ,-2.41
10400940ÿ,-2.41
10400941ÿ,-2.41
10400942ÿ,-2.41
