NEWID,WMLE
10441024 ,-2.86
10441025 ,-2.86
10441026 ,-2.86
10451027 ,0.17
10451028 ,0.17
10451029 ,0.17
10451030 ,0.17
10451031 ,0.17
10451032 ,0.17
10451033 ,0.17
10461034 ,0.88
10461035 ,0.88
10461036 ,0.88
10461037 ,0.88
10461038 ,0.88
10461039 ,0.88
10461040 ,0.88
10461041 ,0.88
10461042 ,0.88
10461043 ,0.88
10461044 ,0.88
10461045 ,0.88
10461046 ,0.88
10461047 ,0.88
10461048 ,0.88
10461049 ,0.88
10461050 ,0.88
10461051 ,0.88
10461052 ,0.88
10461053 ,0.88
10461054 ,0.88
10461055 ,0.88
10471056 ,-0.87
10471057 ,-0.87
10471058 ,-0.87
10471059 ,-0.87
10471060 ,-0.87
10471061 ,-0.87
10471062 ,-0.87
10471063 ,-0.87
10471064 ,-0.87
10471065 ,-0.87
10471066 ,-0.87
10471067 ,-0.87
10471068 ,-0.87
10471069 ,-0.87
10471070 ,-0.87
10481071 ,-0.18
10481072 ,-0.18
10481073 ,-0.18
10481074 ,-0.18
10481075 ,-0.18
10481076 ,-0.18
10481077 ,-0.18
10481078 ,-0.18
10481079 ,-0.18
10481080 ,-0.18
10481081 ,-0.18
10481082 ,-0.18
10481083 ,-0.18
10481084 ,-0.18
10481085 ,-0.18
10481086 ,-0.18
10481087 ,-0.18
10481088 ,-0.18
10481089 ,-0.18
10481090 ,-0.18
10481091 ,-0.18
10481092 ,-0.18
10481093 ,-0.18
10481094 ,-0.18
10481095 ,-0.18
10481096 ,-0.18
10481097 ,-0.18
10481098 ,-0.18
10481099 ,-0.18
10481100 ,-0.18
10481101 ,-0.18
10491102 ,-0.52
10491103 ,-0.52
10491104 ,-0.52
10491105 ,-0.52
10491106 ,-0.52
10491107 ,-0.52
10501108 ,-1.23
10501109 ,-1.23
10501110 ,-1.23
10501111 ,-1.23
10501112 ,-1.23
10501113 ,-1.23
10501114 ,-1.23
10501115 ,-1.23
10501116 ,-1.23
10501117 ,-1.23
10501118 ,-1.23
10501119 ,-1.23
10501120 ,-1.23
10501121 ,-1.23
10501122 ,-1.23
10501123 ,-1.23
10501124 ,-1.23
10501125 ,-1.23
10501126 ,-1.23
10501127 ,-1.23
10501128 ,-1.23
10501129 ,-1.23
10501130 ,-1.23
10501131 ,-1.23
10501132 ,-1.23
10501133 ,-1.23
10501134 ,-1.23
10501135 ,-1.23
10501136 ,-1.23
10501137 ,-1.23
10501138 ,-1.23
10501139 ,-1.23
10511140 ,-3.36
10511141 ,-3.36
10511142 ,-3.36
10511143 ,-3.36
10511144 ,-3.36
10511145 ,-3.36
10511146 ,-3.36
10511147 ,-3.36
10511148 ,-3.36
10511149 ,-3.36
10511150 ,-3.36
10511151 ,-3.36
10511152 ,-3.36
10511153 ,-3.36
10511154 ,-3.36
10511155 ,-3.36
10511156 ,-3.36
10511157 ,-3.36
10511158 ,-3.36
10511159 ,-3.36
10511160 ,-3.36
10511161 ,-3.36
10511162 ,-3.36
10511163 ,-3.36
10511164 ,-3.36
10511165 ,-3.36
10511166 ,-3.36
10511167 ,-3.36
10511168 ,-3.36
10511169 ,-3.36
10511170 ,-3.36
10511171 ,-3.36
10521172 ,0.88
10521173 ,0.88
10521174 ,0.88
10521175 ,0.88
10521176 ,0.88
10521177 ,0.88
10521178 ,0.88
10521179 ,0.88
10521180 ,0.88
10521181 ,0.88
10521182 ,0.88
10531183 ,-0.18
10531184 ,-0.18
10531185 ,-0.18
10531186 ,-0.18
10531187 ,-0.18
10531188 ,-0.18
10531189 ,-0.18
10531190 ,-0.18
10531191 ,-0.18
10531192 ,-0.18
10531193 ,-0.18
10531194 ,-0.18
10531195 ,-0.18
10531196 ,-0.18
10531197 ,-0.18
10531198 ,-0.18
10531199 ,-0.18
10531200 ,-0.18
10531201 ,-0.18
10531202 ,-0.18
10531203 ,-0.18
10531204 ,-0.18
10531205 ,-0.18
10531206 ,-0.18
10531207 ,-0.18
10531208 ,-0.18
10531209 ,-0.18
10531210 ,-0.18
10531211 ,-0.18
10531212 ,-0.18
10531213 ,-0.18
10531214 ,-0.18
10531215 ,-0.18
10531216 ,-0.18
10531217 ,-0.18
10541218 ,0.17
10541219 ,0.17
10541220 ,0.17
10541221 ,0.17
10541222 ,0.17
10541223 ,0.17
10541224 ,0.17
10541225 ,0.17
10541226 ,0.17
10541227 ,0.17
10541228 ,0.17
10541229 ,0.17
10541230 ,0.17
10541231 ,0.17
10541232 ,0.17
10541233 ,0.17
10541234 ,0.17
10541235 ,0.17
10541236 ,0.17
10541237 ,0.17
10541238 ,0.17
10541239 ,0.17
10541240 ,0.17
10541241 ,0.17
10541242 ,0.17
10541243 ,0.17
10541244 ,0.17
10541245 ,0.17
10541246 ,0.17
10541247 ,0.17
10541248 ,0.17
10541249 ,0.17
10541250 ,0.17
10551251 ,-1.23
10551252 ,-1.23
10551253 ,-1.23
10551254 ,-1.23
10551255 ,-1.23
10551256 ,-1.23
10551257 ,-1.23
10551258 ,-1.23
10551259 ,-1.23
10551260 ,-1.23
10551261 ,-1.23
10551262 ,-1.23
10551263 ,-1.23
10551264 ,-1.23
10551265 ,-1.23
10551266 ,-1.23
10551267 ,-1.23
10561268 ,-5.71
10561269 ,-5.71
10561270 ,-5.71
10561271 ,-5.71
10571272 ,-2.41
10571273 ,-2.41
10571274 ,-2.41
10571275 ,-2.41
10571276 ,-2.41
10571277 ,-2.41
10571278 ,-2.41
10571279 ,-2.41
10571280 ,-2.41
10571281 ,-2.41
10571282 ,-2.41
10571283 ,-2.41
10571284 ,-2.41
10571285 ,-2.41
10571286 ,-2.41
10571287 ,-2.41
10571288 ,-2.41
10571289 ,-2.41
10571290 ,-2.41
10571291 ,-2.41
10571292 ,-2.41
10571293 ,-2.41
10571294 ,-2.41
10571295 ,-2.41
10571296 ,-2.41
10571297 ,-2.41
10571298 ,-2.41
10571299 ,-2.41
10571300 ,-2.41
10571301 ,-2.41
10571302 ,-2.41
10571303 ,-2.41
10581304 ,-0.87
10581305 ,-0.87
10591306 ,-5.71
10591307 ,-5.71
10591308 ,-5.71
10591309 ,-5.71
10591310 ,-5.71
10591311 ,-5.71
